INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
"Fifth Third Bank, National Association",Franklin,Tennessee,TN,2005,9,3,20053,,,,,Bank Civil Money Penalties,21963,,,"Franklin, TN",1400,9/7/2005 12:00:00 AM -04:00,2005-127,,,
"Fifth Third Trust Company, N.A.",Naples,Florida,FL,1991,1,1,19911,,,,,Bank Civil Money Penalties,22154,,,"Naples, FL",5700,1/15/1991 12:00:00 AM -05:00,1010,,,AA-EC-91-05
"First American Bank Of Gorgia, N.A.",Atlanta,Georgia,GA,1992,5,2,19922,1993,10,4,19934,Cease & Desist Orders,15541,,,"Atlanta, GA",0,5/4/1992 12:00:00 AM -04:00,620,10/31/1993 12:00:00 AM -04:00,,
"First American Bank Of Gorgia, N.A.",Atlanta,Georgia,GA,1991,5,2,19912,1992,5,2,19922,Cease & Desist Orders,15541,,,"Atlanta, GA",0,5/9/1991 12:00:00 AM -04:00,358,5/1/1992 12:00:00 AM -04:00,631,
"First American Bank, National Association",Washington,District of Columbia,DC,1991,4,2,19912,1993,6,2,19932,Cease & Desist Orders,2038,,,"Washington, DC",0,4/18/1991 12:00:00 AM -04:00,218,6/23/1993 12:00:00 AM -04:00,,
First American National Bank,Chandler,Arizona,AZ,1991,12,4,19914,1993,6,2,19932,Cease & Desist Orders,15715,,,"Chandler, AZ",0,12/6/1991 12:00:00 AM -05:00,416,6/11/1993 12:00:00 AM -04:00,93-164,
First American National Bank Of Nashville,Nashville,Tennessee,TN,1992,1,1,19921,,,,,Bank Civil Money Penalties,3032,,,"Nashville, TN",5000,1/17/1992 12:00:00 AM -05:00,998,,,AA-SCP-92-04
First American National Bank Of Nashville,Nashville,Tennessee,TN,1992,1,1,19921,,,,,Securities Enforcement Actions,3032,,,"Nashville, TN",0,1/17/1992 12:00:00 AM -05:00,998,,,AA-SCP-92-04
First Bank National Association,Cleveland,Ohio,OH,1989,8,3,19893,1990,3,1,19901,Cease & Desist Orders,16545,,,"Cleveland, OH",0,8/30/1989 12:00:00 AM -04:00,11,3/9/1990 12:00:00 AM -05:00,,
"First Bank Richmond, National Association",Richmond,Indiana,IN,2009,10,4,20094,2014,10,4,20144,Formal Agreements,23570,,,"Richmond, IN",0,10/26/2009 12:00:00 AM -04:00,2009-200,10/17/2014 12:00:00 AM -04:00,2014-136,
"First Bank Southeast, N.A.",Milwaukee,Wisconsin,WI,1991,3,1,19911,1993,5,2,19932,Formal Agreements,21638,,,"Milwaukee, WI",0,3/20/1991 12:00:00 AM -05:00,232,5/19/1993 12:00:00 AM -04:00,93-173,
First Capital Bank,Bennettsville,South Carolina,SC,2012,7,3,20123,2014,1,1,20141,Formal Agreements,715575,,,"Bennettsville, SC",0,7/3/2012 12:00:00 AM -04:00,2012-193,1/9/2014 12:00:00 AM -05:00,2014-011,
"First Central Bank McCook, National Association",McCook,Nebraska,NE,2003,12,4,20034,2006,3,1,20061,Formal Agreements,23734,,,"McCook, NE",0,12/1/2003 12:00:00 AM -05:00,2003-144,3/22/2006 12:00:00 AM -05:00,2006-27,
"First Central Bank, N.A.",Cerritos,California,CA,1999,2,1,19991,,,,,Bank Civil Money Penalties,18695,,,"Cerritos, CA",25000,2/12/1999 12:00:00 AM -05:00,99-13,,,
"First Central Bank, N.A.",Cerritos,California,CA,1997,1,1,19971,1998,10,4,19984,Cease & Desist Orders,18695,,,"Cerritos, CA",0,1/31/1997 12:00:00 AM -05:00,Aug-97,10/28/1998 12:00:00 AM -05:00,98-65,
"First Central Bank, National Association",Cerritos,California,CA,1999,2,1,19991,1999,5,2,19992,Cease & Desist Orders,18695,,,"Cerritos, CA",0,2/12/1999 12:00:00 AM -05:00,99-13,5/28/1999 12:00:00 AM -04:00,,
First Charter Bank N.A.,Beverly Hills,California,CA,1993,12,4,19934,1994,9,3,19943,Formal Agreements,17731,,,"Beverly Hills, CA",0,12/16/1993 12:00:00 AM -05:00,93-305,9/23/1994 12:00:00 AM -04:00,94-149,
First Charter Bank N.A.,Beverly Hills,California,CA,1993,7,3,19933,1994,6,2,19942,Prompt Corrective Action Directives,17731,,,"Beverly Hills, CA",0,7/15/1993 12:00:00 AM -04:00,93-221,6/3/1994 12:00:00 AM -04:00,94-116,
First Charter Bank N.A.,Beverly Hills,California,CA,1992,2,1,19921,1994,9,3,19943,Formal Agreements,17731,,,"Beverly Hills, CA",0,2/28/1992 12:00:00 AM -05:00,475,9/23/1994 12:00:00 AM -04:00,94-149,
First Charter Bank National Association,Beverly Hills,California,CA,1996,8,3,19963,1998,5,2,19982,Prompt Corrective Action Directives,17731,,,"Beverly Hills, CA",0,8/27/1996 12:00:00 AM -04:00,96-51,5/5/1998 12:00:00 AM -04:00,98-29,
First Charter Bank National Association,Los Angeles,California,CA,1994,9,3,19943,1995,7,3,19953,Formal Agreements,17731,,,"Los Angeles, CA",0,9/23/1994 12:00:00 AM -04:00,94-149,7/19/1995 12:00:00 AM -04:00,95-35,
