INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
"Dana Niguel Bank, National Association",Dana Point,California,CA,1991,6,2,19912,1995,5,2,19952,Formal Agreements,17546,,,"Dana Point, CA",0,6/6/1991 12:00:00 AM -04:00,304,5/3/1995 12:00:00 AM -04:00,95-16,
Dauphin National Bank,Dauphin,Pennsylvania,PA,1992,12,4,19924,1995,8,3,19953,Formal Agreements,11512,,,"Dauphin, PA",0,12/10/1992 12:00:00 AM -05:00,787,8/23/1995 12:00:00 AM -04:00,95-122,
Delanco Federal Savings Bank,Delanco,New Jersey,NJ,2012,11,4,20124,,,,,Formal Agreements,701993,,,"Delanco, NJ",0,11/21/2012 12:00:00 AM -05:00,2012-269,,,AA-NEDO-2012-152
"Delta Bank, National Association",Manteca,California,CA,2008,10,4,20084,2016,11,4,20164,Cease & Desist Orders,16154,,,"Manteca, CA",0,10/14/2008 12:00:00 AM -04:00,2008-126,11/18/2016 12:00:00 AM -05:00,,
Delta National Bank,Manteca,California,CA,2002,2,1,20021,2004,2,1,20041,Cease & Desist Orders,16154,,,"Manteca, CA",0,2/12/2002 12:00:00 AM -05:00,2002-15,2/24/2004 12:00:00 AM -05:00,2004-128,
Department Stores National Bank,Sioux Falls,South Dakota,SD,2015,7,3,20153,,,,,Bank Civil Money Penalties,24622,,,"Sioux Falls, SD",0,7/20/2015 12:00:00 AM -04:00,2015-079,,,AA-EC-2015-53
Department Stores National Bank,Sioux Falls,South Dakota,SD,2015,7,3,20153,,,,,Cease & Desist Orders,24622,,,"Sioux Falls, SD",0,7/20/2015 12:00:00 AM -04:00,2015-078,,,AA-EC-2015-52
Deposit Guaranty National Bank,Jackson,Mississippi,MS,1992,1,1,19921,,,,,Bank Civil Money Penalties,15548,,,"Jackson, MS",10000,1/17/1992 12:00:00 AM -05:00,986,,,AA-SCP-92-04
Deposit Guaranty National Bank,Jackson,Mississippi,MS,1992,1,1,19921,,,,,Securities Enforcement Actions,15548,,,"Jackson, MS",0,1/17/1992 12:00:00 AM -05:00,986,,,AA-SCP-92-04
Deuel County National Bank,Clear Lake,South Dakota,SD,1997,10,4,19974,2000,6,2,20002,Formal Agreements,12877,,,"Clear Lake, SD",0,10/15/1997 12:00:00 AM -04:00,97-91,6/29/2000 12:00:00 AM -04:00,2000-63,
"Diamond Bank, FSB",Schaumburg,Illinois,IL,2010,9,3,20103,2014,10,4,20144,Cease & Desist Orders,703627,,,"Schaumburg, IL",0,9/24/2010 12:00:00 AM -04:00,CN 10-032,10/21/2014 12:00:00 AM -04:00,,
"Diamond Bank, FSB",Schaumburg,Illinois,IL,2010,9,3,20103,2014,10,4,20144,Cease & Desist Orders,703627,,,"Schaumburg, IL",0,9/24/2010 12:00:00 AM -04:00,CN 10-033,10/21/2014 12:00:00 AM -04:00,,
"Dieterich Bank, National Association",Dieterich,Illinois,IL,2015,12,4,20154,2017,6,2,20172,Formal Agreements,9582,,,"Dieterich, IL",0,12/16/2015 12:00:00 AM -05:00,2015-141,6/22/2017 12:00:00 AM -04:00,2017-050,AA-CE-2015-96
Dillard National Bank,Gilbert,Arizona,AZ,2003,12,4,20034,2004,11,4,20044,Formal Agreements,18777,,,"Gilbert, AZ",0,12/15/2003 12:00:00 AM -05:00,2003-161,11/1/2004 12:00:00 AM -05:00,,
Dillard National Bank,Gilbert,Arizona,AZ,2003,11,4,20034,2004,11,4,20044,Formal Agreements,18777,,,"Gilbert, AZ",0,11/13/2003 12:00:00 AM -05:00,2003-142,11/1/2004 12:00:00 AM -05:00,,
"Direct Merchants Credit Card Bank, N.A.",Scottsdale,Arizona,AZ,2002,4,2,20022,2003,3,1,20031,Formal Agreements,22734,,,"Scottsdale, AZ",0,4/16/2002 12:00:00 AM -04:00,2002-26,3/18/2003 12:00:00 AM -05:00,2003-18,
"Direct Merchants Credit Card Bank, National Association",Scottsdale,Arizona,AZ,2001,5,2,20012,2005,12,4,20054,Cease & Desist Orders,22734,,,"Scottsdale, AZ",0,5/3/2001 12:00:00 AM -04:00,2001-24,12/1/2005 12:00:00 AM -05:00,,
Doha Bank,New York,New York,NY,2009,4,2,20092,,,,,Bank Civil Money Penalties,80063,,,"New York, NY",5000000,4/20/2009 12:00:00 AM -04:00,2009-056,,,AA-NE-09-24
Doha Bank,New York,New York,NY,2006,9,3,20063,,,,,Cease & Desist Orders,80063,,,"New York, NY",0,9/19/2006 12:00:00 AM -04:00,2006-107,,,
Doha Bank,New York,New York,NY,1999,11,4,19994,2001,3,1,20011,Formal Agreements,80063,,,"New York, NY",0,11/16/1999 12:00:00 AM -05:00,99-132,3/21/2001 12:00:00 AM -05:00,2001-130,
"Dominion Bank Of Maryland, N.A.",Rockville,Maryland,MD,1992,9,3,19923,1993,12,4,19934,Formal Agreements,14864,,,"Rockville, MD",0,9/11/1992 12:00:00 AM -04:00,706,12/6/1993 12:00:00 AM -05:00,93-293,
"Dominion Bank Of Washington, N.A.",Washington,District of Columbia,DC,1992,9,3,19923,1993,12,4,19934,Formal Agreements,15127,,,"Washington, DC",0,9/11/1992 12:00:00 AM -04:00,702,12/2/1993 12:00:00 AM -05:00,93-290,
Douglass National Bank,Kansas City,Missouri,MO,2006,3,1,20061,2008,1,1,20081,Formal Agreements,23180,,,"Kansas City, MO",0,3/28/2006 12:00:00 AM -05:00,2006-75,1/25/2008 12:00:00 AM -05:00,,
Downers Grove National Bank,Westmont,Illinois,IL,1991,5,2,19912,1994,3,1,19941,Formal Agreements,14748,,,"Westmont, IL",0,5/13/1991 12:00:00 AM -04:00,276,3/24/1994 12:00:00 AM -05:00,94-72,
Duncanville National Bank,Duncanville,Texas,TX,1998,1,1,19981,1999,8,3,19993,Cease & Desist Orders,18244,,,"Duncanville, TX",0,1/22/1998 12:00:00 AM -05:00,98-61,8/26/1999 12:00:00 AM -04:00,,
Duncanville National Bank,Dowingtown,Pennsylvania,PA,1992,5,2,19922,1996,2,1,19961,Cease & Desist Orders,661,,,"Dowingtown, PA",0,5/6/1992 12:00:00 AM -04:00,532,2/1/1996 12:00:00 AM -05:00,Jun-96,
Duncanville National Bank,Duncanville,Texas,TX,1990,2,1,19901,1994,3,1,19941,Cease & Desist Orders,18244,,,"Duncanville, TX",0,2/13/1990 12:00:00 AM -05:00,39,3/4/1994 12:00:00 AM -05:00,94-266,
Dupage National Bank,West Chicago,Illinois,IL,2011,11,4,20114,2014,1,1,20141,Cease & Desist Orders,15038,,,"West Chicago, IL",0,11/18/2011 12:00:00 AM -05:00,2011-165,1/17/2014 12:00:00 AM -05:00,,AA-EC-11-92
Dupage National Bank,West Chicago,Illinois,IL,2009,5,2,20092,2011,11,4,20114,Formal Agreements,15038,,,"West Chicago, IL",0,5/7/2009 12:00:00 AM -04:00,2009-079,11/18/2011 12:00:00 AM -05:00,2011-165,
Eagle Bank Of Champaign County National Association,Rantoul,Illinois,IL,1992,1,1,19921,1993,7,3,19933,Cease & Desist Orders,5193,,,"Rantoul, IL",0,1/13/1992 12:00:00 AM -05:00,436,7/1/1993 12:00:00 AM -04:00,,
Eagle National Bank,Upper Darby,Pennsylvania,PA,1991,3,1,19911,1994,3,1,19941,Cease & Desist Orders,21118,,,"Upper Darby, PA",0,3/18/1991 12:00:00 AM -05:00,208,3/30/1994 12:00:00 AM -05:00,94-55,
Eagle National Bank,Upper Darby,Pennsylvania,PA,2012,2,1,20121,2014,4,2,20142,Cease & Desist Orders,21118,,,"Upper Darby, PA",0,2/6/2012 12:00:00 AM -05:00,2012-021,4/6/2014 12:00:00 AM -04:00,2014-083,
Eagle National Bank,Upper Darby,Pennsylvania,PA,2009,10,4,20094,2012,2,1,20121,Formal Agreements,21118,,,"Upper Darby, PA",0,10/15/2009 12:00:00 AM -04:00,2009-177,2/6/2012 12:00:00 AM -05:00,2012-021,
Eagle National Bank,Upper Darby,Pennsylvania,PA,2001,12,4,20014,2003,9,3,20033,Cease & Desist Orders,21118,,,"Upper Darby, PA",0,12/18/2001 12:00:00 AM -05:00,2001-104,9/8/2003 12:00:00 AM -04:00,,
Eagle National Bank of Miami,Doral,Florida,FL,2004,12,4,20044,2007,6,2,20072,Cease & Desist Orders,14804,,,"Doral, FL",0,12/21/2004 12:00:00 AM -05:00,2004-138,6/14/2007 12:00:00 AM -04:00,2007-077,
"Eagle Valley Bank, National Association",St. Croix Falls,Wisconsin,WI,2011,3,1,20111,2015,6,2,20152,Cease & Desist Orders,11526,,,"St. Croix Falls, WI",0,3/17/2011 12:00:00 AM -04:00,2011-026,6/22/2015 12:00:00 AM -04:00,2015-075,AA-EC-10-123
"Eagle Valley Bank, National Association",St. Croix Falls,Wisconsin,WI,2009,12,4,20094,2011,3,1,20111,Formal Agreements,11526,,,"St. Croix Falls, WI",0,12/17/2009 12:00:00 AM -05:00,2009-222,3/17/2011 12:00:00 AM -04:00,2011-026,
East Texas National Bank,Marshall,Texas,TX,1998,8,3,19983,1999,7,3,19993,Cease & Desist Orders,18297,,,"Marshall, TX",0,8/25/1998 12:00:00 AM -04:00,98-62,7/9/1999 12:00:00 AM -04:00,,
"Eastbank, National Association",New York,New York,NY,1993,4,2,19932,1994,4,2,19942,Formal Agreements,18431,,,"New York, NY",0,4/13/1993 12:00:00 AM -04:00,93-148,4/25/1994 12:00:00 AM -04:00,94-77,
Eastern National Bank,Miami,Florida,FL,1999,8,3,19993,2000,9,3,20003,Formal Agreements,15748,,,"Miami, FL",0,8/11/1999 12:00:00 AM -04:00,99-54,9/14/2000 12:00:00 AM -04:00,2000-91,
Eastern National Bank,Miami,Florida,FL,2009,6,2,20092,2013,8,3,20133,Formal Agreements,15748,,,"Miami, FL",0,6/26/2009 12:00:00 AM -04:00,2009-086,8/12/2013 12:00:00 AM -04:00,2013-214,
Eastern National Bank,Miami,Florida,FL,2008,10,4,20084,,,,,Bank Civil Money Penalties,15748,,,"Miami, FL",200000,10/24/2008 12:00:00 AM -04:00,2008-152,,,AA-EC-08-53
Eastern National Bank,Miami,Florida,FL,2008,10,4,20084,,,,,Bank Civil Money Penalties,15748,,,"Miami, FL",16000,10/17/2008 12:00:00 AM -04:00,2008-129,,,AA-EC-08-54
Eastern National Bank,Miami,Florida,FL,2008,6,2,20082,2010,8,3,20103,Cease & Desist Orders,15748,,,"Miami, FL",0,6/4/2008 12:00:00 AM -04:00,2008-038,8/30/2010 12:00:00 AM -04:00,2010-180,
"Eastern Savings Bank, FSB",Hunt Valley,Maryland,MD,2014,3,1,20141,,,,,Cease & Desist Orders,708183,,,"Hunt Valley, MD",0,3/31/2014 12:00:00 AM -04:00,2014-030,,,
"Eastern Savings Bank, FSB",Hunt Valley,Maryland,MD,2009,2,1,20091,2014,3,1,20141,Cease & Desist Orders,708183,,,"Hunt Valley, MD",0,2/20/2009 12:00:00 AM -05:00,SE 09-015,3/31/2014 12:00:00 AM -04:00,2014-030,
Eastpark National Bank,Dallas,Texas,TX,1991,3,1,19911,1992,12,4,19924,Formal Agreements,20938,,,"Dallas, TX",0,3/28/1991 12:00:00 AM -05:00,227,12/17/1992 12:00:00 AM -05:00,796,
"Eastside Commercial Bank, National Association",Bellevue,Washington,WA,2014,3,1,20141,2015,4,2,20152,Cease & Desist Orders,24180,,,"Bellevue, WA",0,3/20/2014 12:00:00 AM -04:00,2014-031,4/15/2015 12:00:00 AM -04:00,,
"Eastside Commercial Bank, National Association",Bellevue,Washington,WA,2009,12,4,20094,2014,3,1,20141,Capital Directive,24180,,,"Bellevue, WA",0,12/22/2009 12:00:00 AM -05:00,2009-213,3/20/2014 12:00:00 AM -04:00,2014-031,AA-EC-09-85
"Eastside Commercial Bank, National Association",Bellevue,Washington,WA,2009,4,2,20092,2014,3,1,20141,Formal Agreements,24180,,,"Bellevue, WA",0,4/21/2009 12:00:00 AM -04:00,2009-073,3/20/2014 12:00:00 AM -04:00,2014-031,
Eaton National Bank and Trust Co.,Eaton,Ohio,OH,2009,8,3,20093,2010,12,4,20104,Formal Agreements,7557,,,"Eaton, OH",0,8/25/2009 12:00:00 AM -04:00,2009-128,12/14/2010 12:00:00 AM -05:00,2010-265,
"Edgartown National Bank, The",Edgartown,Massachusetts,MA,1993,7,3,19933,1995,6,2,19952,Formal Agreements,7957,,,"Edgartown, MA",0,7/22/1993 12:00:00 AM -04:00,93-183,6/28/1995 12:00:00 AM -04:00,95-32,
Edgewater Bank,St. Joseph,Michigan,MI,2009,10,4,20094,2012,2,1,20121,Cease & Desist Orders,704476,,,"St. Joseph, MI",0,10/20/2009 12:00:00 AM -04:00,CN 09-40,2/2/2012 12:00:00 AM -05:00,2012-046,
EH National Bank,Beverly Hills,California,CA,2013,7,3,20133,,,,,Cease & Desist Orders,24493,,,"Beverly Hills, CA",0,7/9/2013 12:00:00 AM -04:00,2013-090,,,AA-EC-2013-42
El Segundo First National Bank,El Segundo,California,CA,1992,11,4,19924,1996,8,3,19963,Formal Agreements,18454,,,"El Segundo, CA",0,11/10/1992 12:00:00 AM -05:00,747,8/13/1996 12:00:00 AM -04:00,96-46,
Elkridge National Bank,Elkridge,Maryland,MD,1991,12,4,19914,1994,5,2,19942,Formal Agreements,14956,,,"Elkridge, MD",0,12/11/1991 12:00:00 AM -05:00,563,5/19/1994 12:00:00 AM -04:00,94-98,
Empire National Bank,Islandia,New York,NY,2010,10,4,20104,2012,4,2,20122,Formal Agreements,24777,,,"Islandia, NY",0,10/21/2010 12:00:00 AM -04:00,2010-226,4/5/2012 12:00:00 AM -04:00,2012-106,
"Enterprise Bank, National Association",Omaha,Nebraska,NE,2011,10,4,20114,,,,,Bank Civil Money Penalties,22233,,,"Omaha, NE",4620,10/25/2011 12:00:00 AM -04:00,2011-168,,,AA-WE-11-84
Enterprise National Bank Of Palm Beach,North Palm Beach,Florida,FL,1999,6,2,19992,2001,8,3,20013,Formal Agreements,22008,,,"North Palm Beach, FL",0,6/17/1999 12:00:00 AM -04:00,99-47,8/29/2001 12:00:00 AM -04:00,2001-74,
Enterprise National Bank Of Palm Beach,North Palm Beach,Florida,FL,1993,4,2,19932,1997,1,1,19971,Formal Agreements,22008,,,"North Palm Beach, FL",0,4/14/1993 12:00:00 AM -04:00,93-116,1/8/1997 12:00:00 AM -05:00,96-79,
Enterprise National Bank Of Tampa,Tampa,Florida,FL,1991,12,4,19914,1994,7,3,19943,Formal Agreements,21734,,,"Tampa, FL",0,12/18/1991 12:00:00 AM -05:00,476,7/18/1994 12:00:00 AM -04:00,94-134,
Equitable Bank,Grand Island,Nebraska,NE,2014,5,2,20142,,,,,Bank Civil Money Penalties,707056,,,"Grand Island, NE",6115,5/27/2014 12:00:00 AM -04:00,2014-062,,,AA-WE-2014-57
Everbank,Jacksonville,Florida,FL,2016,1,1,20161,,,,,Bank Civil Money Penalties,715115,,,"Jacksonville, FL",1000000,1/4/2016 12:00:00 AM -05:00,2016-001,,,AA-EC-2015-106
Everbank,Jacksonville,Florida,FL,2015,6,2,20152,2016,1,1,20161,Cease & Desist Orders,715115,,,"Jacksonville, FL",0,6/16/2015 12:00:00 AM -04:00,2015-062,1/4/2016 12:00:00 AM -05:00,2016-002,
Everbank,Jacksonville,Florida,FL,2013,10,4,20134,2016,1,1,20161,Cease & Desist Orders,715115,,,"Jacksonville, FL",0,10/15/2013 12:00:00 AM -04:00,2013-160,1/4/2016 12:00:00 AM -05:00,2016-002,
Everbank,Jacksonville,Florida,FL,2011,4,2,20112,2016,1,1,20161,Cease & Desist Orders,715115,,,"Jacksonville, FL",0,4/13/2011 12:00:00 AM -04:00,SE 11-014,1/4/2016 12:00:00 AM -05:00,2016-002,
Evergreen National Bank,Evergreen,Colorado,CO,2009,10,4,20094,2015,6,2,20152,Formal Agreements,17000,,,"Evergreen, CO",0,10/27/2009 12:00:00 AM -04:00,2009-173,6/17/2015 12:00:00 AM -04:00,2015-072,
"Excel Bank, N.A.",New York,New York,NY,2002,4,2,20022,2002,9,3,20023,Formal Agreements,16629,,,"New York, NY",0,4/11/2002 12:00:00 AM -04:00,2002-28,9/24/2002 12:00:00 AM -04:00,2002-95,
"Excel Bank, National Association",New York,New York,NY,2002,9,3,20023,2005,12,4,20054,Formal Agreements,16629,,,"New York, NY",0,9/24/2002 12:00:00 AM -04:00,2002-95,12/30/2005 12:00:00 AM -05:00,2005-186,
Excel National Bank,Beverly Hills,California,CA,2009,9,3,20093,2013,7,3,20133,Cease & Desist Orders,24493,,,"Beverly Hills, CA",0,9/15/2009 12:00:00 AM -04:00,2009-136,7/9/2013 12:00:00 AM -04:00,2013-090,AA-WE-09-53
Exchange National Bank of Moore,Moore,Oklahoma,OK,1992,1,1,19921,1994,5,2,19942,Formal Agreements,15152,,,"Moore, OK",0,1/13/1992 12:00:00 AM -05:00,466,5/18/1994 12:00:00 AM -04:00,94-255,
Executive National Bank,Miami,Florida,FL,2001,9,3,20013,2003,9,3,20033,Formal Agreements,15974,,,"Miami, FL",0,9/6/2001 12:00:00 AM -04:00,2001-77,9/18/2003 12:00:00 AM -04:00,2003-120,
Executive National Bank,Miami,Florida,FL,2009,9,3,20093,2012,6,2,20122,Formal Agreements,15974,,,"Miami, FL",0,9/8/2009 12:00:00 AM -04:00,2009-152,6/28/2012 12:00:00 AM -04:00,2012-174,
Executive Park National Bank,Kingsport,Tennessee,TN,1991,9,3,19913,1993,1,1,19931,Formal Agreements,18583,,,"Kingsport, TN",0,9/5/1991 12:00:00 AM -04:00,387,1/27/1993 12:00:00 AM -05:00,93-16,
F&M Bank and Trust Company,Hannibal,Missouri,MO,2014,4,2,20142,2016,1,1,20161,Cease & Desist Orders,705608,,,"Hannibal, MO",0,4/22/2014 12:00:00 AM -04:00,2014-050,1/14/2016 12:00:00 AM -05:00,2016-013,
F&M Bank and Trust Company,Hannibal,Missouri,MO,2012,8,3,20123,2014,4,2,20142,Cease & Desist Orders,705608,,,"Hannibal, MO",0,8/28/2012 12:00:00 AM -04:00,2012-218,4/22/2014 12:00:00 AM -04:00,2014-050,AA-CE-12-106
Falcon National Bank,Laredo,Texas,TX,1992,8,3,19923,1993,5,2,19932,Formal Agreements,20372,,,"Laredo, TX",0,8/5/1992 12:00:00 AM -04:00,682,5/3/1993 12:00:00 AM -04:00,93-144,
Falcon National Bank,Laredo,Texas,TX,1992,7,3,19923,,,,,Bank Civil Money Penalties,20372,,,"Laredo, TX",5000,7/7/1992 12:00:00 AM -04:00,659,,,AA-SW-92-105
Far East National Bank,Los Angeles,California,CA,2010,3,1,20101,2013,8,3,20133,Cease & Desist Orders,16407,,,"Los Angeles, CA",0,3/9/2010 12:00:00 AM -05:00,2010-038,8/5/2013 12:00:00 AM -04:00,2013-108,AA-EC-09-112
Far East National Bank,Los Angeles,California,CA,2007,8,3,20073,,,,,Bank Civil Money Penalties,16407,,,"Los Angeles, CA",1000,8/29/2007 12:00:00 AM -04:00,2007-093,,,
Far East National Bank,Los Angeles,California,CA,2005,6,2,20052,2006,9,3,20063,Cease & Desist Orders,16407,,,"Los Angeles, CA",0,6/13/2005 12:00:00 AM -04:00,2005-63,9/19/2006 12:00:00 AM -04:00,2006-118,
Farmers And Merchants National Bank,Hamilton,Virginia,VA,1993,3,1,19931,1994,6,2,19942,Prompt Corrective Action Directives,9861,,,"Hamilton, VA",0,3/24/1993 12:00:00 AM -05:00,93-77,6/30/1994 12:00:00 AM -04:00,,
"Farmers Bank & Trust, National Association",Great Bend,Kansas,KS,2008,9,3,20083,2012,8,3,20123,Formal Agreements,17464,,,"Great Bend, KS",0,9/11/2008 12:00:00 AM -04:00,2008-115,8/22/2012 12:00:00 AM -04:00,2012-205,
Farmers National Bank,Rule,Texas,TX,1991,11,4,19914,1993,10,4,19934,Cease & Desist Orders,14539,,,"Rule, TX",0,11/21/1991 12:00:00 AM -05:00,405,10/28/1993 12:00:00 AM -04:00,95-34,
Farmers National Bank,Walton,Kentucky,KY,2010,4,2,20102,,,,,Formal Agreements,22928,,,"Walton, KY",0,4/23/2010 12:00:00 AM -04:00,2010-079,,,
Farmers National Bank,Walton,Kentucky,KY,2003,3,1,20031,2004,4,2,20042,Formal Agreements,22928,,,"Walton, KY",0,3/18/2003 12:00:00 AM -05:00,2003-21,4/15/2004 12:00:00 AM -04:00,2004-170,
Farmers National Bank Of Cynthiana,Cynthiana,Kentucky,KY,1992,5,2,19922,1994,4,2,19942,Formal Agreements,2560,,,"Cynthiana, KY",0,5/27/1992 12:00:00 AM -04:00,614,4/13/1994 12:00:00 AM -04:00,94-73,
Farmers National Bank Of Griggsville,Griggsville,Illinois,IL,1991,11,4,19914,1993,7,3,19933,Formal Agreements,14466,,,"Griggsville, IL",0,11/13/1991 12:00:00 AM -05:00,408,7/28/1993 12:00:00 AM -04:00,93-224,
"Farmers National Bank of Scottsville, The",Scottsville,Kentucky,KY,1991,10,4,19914,1992,12,4,19924,Formal Agreements,12456,,,"Scottsville, KY",0,10/15/1991 12:00:00 AM -04:00,380,12/24/1992 12:00:00 AM -05:00,817,
Federal City National Bank,Washington,District of Columbia,DC,1991,10,4,19914,1992,4,2,19922,Cease & Desist Orders,18599,,,"Washington, DC",0,10/1/1991 12:00:00 AM -04:00,357,4/27/1992 12:00:00 AM -04:00,,
"Fia Card Services, National Association",Wilmington,Delaware,DE,2014,4,2,20142,,,,,Bank Civil Money Penalties,22381,,,"Wilmington, DE",25000000,4/7/2014 12:00:00 AM -04:00,2014-028,,,AA-EC-2014-6
"Fia Card Services, National Association",Wilmington,Delaware,DE,2014,4,2,20142,2016,4,2,20162,Cease & Desist Orders,22381,,,"Wilmington, DE",0,4/7/2014 12:00:00 AM -04:00,2014-027,4/25/2016 12:00:00 AM -04:00,2016-052,AA-EC-2014-5
"Fidelity Bank of Florida, National Association",Merritt Island,Florida,FL,2010,10,4,20104,2015,11,4,20154,Cease & Desist Orders,24496,,,"Merritt Island, FL",0,10/27/2010 12:00:00 AM -04:00,2010-209,11/12/2015 12:00:00 AM -05:00,2015-131,AA-EC-10-105
"Fidelity Bank of Florida, National Association",Merritt Island,Florida,FL,2009,6,2,20092,2010,10,4,20104,Formal Agreements,24496,,,"Merritt Island, FL",0,6/9/2009 12:00:00 AM -04:00,2009-085,10/27/2010 12:00:00 AM -04:00,2010-209,
"Fidelity Bank of Florida, National Association",Merritt Island,Florida,FL,2015,12,4,20154,2016,7,3,20163,Notices Filed,24496,,James Guldi,"Merritt Island, FL",0,12/1/2015 12:00:00 AM -05:00,N15-002,7/26/2016 12:00:00 AM -04:00,2016-121,AA-EC-15-62
Fidelity National Bank,Medford,Wisconsin,WI,2002,3,1,20021,2004,5,2,20042,Formal Agreements,16516,,,"Medford, WI",0,3/26/2002 12:00:00 AM -05:00,2002-30,5/10/2004 12:00:00 AM -04:00,2004-63,
Fidelity National Bank,Norcross,Georgia,GA,2001,9,3,20013,2003,5,2,20032,Formal Agreements,16275,,,"Norcross, GA",0,9/5/2001 12:00:00 AM -04:00,2001-79,5/9/2003 12:00:00 AM -04:00,,
Fidelity National Bank,Norcross,Georgia,GA,1996,11,4,19964,1998,12,4,19984,Formal Agreements,16275,,,"Norcross, GA",0,11/14/1996 12:00:00 AM -05:00,96-69,12/1/1998 12:00:00 AM -05:00,98-94,
Fidelity National Bank,Houston,Texas,TX,1992,12,4,19924,1993,7,3,19933,Cease & Desist Orders,17961,,,"Houston, TX",0,12/16/1992 12:00:00 AM -05:00,798,7/22/1993 12:00:00 AM -04:00,,
Fidelity National Bank,Medford,Wisconsin,WI,1991,6,2,19912,1994,10,4,19944,Formal Agreements,16516,,,"Medford, WI",0,6/20/1991 12:00:00 AM -04:00,938,10/26/1994 12:00:00 AM -04:00,94-254,
Fidelity National Bank,Medford,Wisconsin,WI,2012,5,2,20122,2016,11,4,20164,Formal Agreements,16516,,,"Medford, WI",0,5/25/2012 12:00:00 AM -04:00,2012-113,11/14/2016 12:00:00 AM -05:00,2016-113,
Fidelity National Bank,West Memphis,Arkansas,AR,2011,7,3,20113,2013,5,2,20132,Formal Agreements,15608,,,"West Memphis, AR",0,7/20/2011 12:00:00 AM -04:00,2011-121,5/9/2013 12:00:00 AM -04:00,2013-066,
Fidelity National Bank,Medford,Wisconsin,WI,2007,5,2,20072,2008,6,2,20082,Formal Agreements,16516,,,"Medford, WI",0,5/30/2007 12:00:00 AM -04:00,2007-073,6/19/2008 12:00:00 AM -04:00,2008-091,
Fidelity National Bank,Medford,Wisconsin,WI,2005,4,2,20052,2008,6,2,20082,Formal Agreements,16516,,,"Medford, WI",0,4/12/2005 12:00:00 AM -04:00,2005-47,6/19/2008 12:00:00 AM -04:00,2008-091,
Fidelity National Bank,Norcross,Georgia,GA,2002,10,4,20024,,,,,Bank Civil Money Penalties,16275,,,"Norcross, GA",50000,10/8/2002 12:00:00 AM -04:00,2002-100,,,
Fidelity National Bank,Norcross,Georgia,GA,2000,12,4,20004,2002,6,2,20022,Cease & Desist Orders,16275,,,"Norcross, GA",0,12/21/2000 12:00:00 AM -05:00,2000-114,6/18/2002 12:00:00 AM -04:00,2002-54,
Fieldpoint Private Bank & Trust,Greenwich,Connecticut,CT,2012,11,4,20124,2015,9,3,20153,Formal Agreements,718058,,,"Greenwich, CT",0,11/29/2012 12:00:00 AM -05:00,2012-267,9/3/2015 12:00:00 AM -04:00,2015-129,AA-NEDO-2012-150
